instant_hourly,dteday,season_hourly,yr_hourly,mnth_hourly,hr,holiday_hourly,weekday_hourly,workingday_hourly,weathersit_hourly,temp_hourly,atemp_hourly,hum_hourly,windspeed_hourly,casual_hourly,registered_hourly,cnt_hourly,instant_daily,season_daily,yr_daily,mnth_daily,holiday_daily,weekday_daily,workingday_daily,weathersit_daily,temp_daily,atemp_daily,hum_daily,windspeed_daily,casual_daily,registered_daily,cnt_daily
509,2011-01-23,1,0,1,7,0,0,0,1,0.08,0.1061,0.58,0.1642,1,1,2,23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986
510,2011-01-23,1,0,1,8,0,0,0,1,0.06,0.0758,0.62,0.1642,2,17,19,23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986
511,2011-01-23,1,0,1,9,0,0,0,1,0.1,0.0758,0.54,0.3582,3,25,28,23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986
512,2011-01-23,1,0,1,10,0,0,0,1,0.14,0.1061,0.46,0.3881,7,51,58,23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986
513,2011-01-23,1,0,1,11,0,0,0,1,0.14,0.1364,0.43,0.2239,22,77,99,23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986
514,2011-01-23,1,0,1,12,0,0,0,1,0.16,0.1212,0.37,0.4627,24,92,116,23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986
515,2011-01-23,1,0,1,13,0,0,0,1,0.14,0.1061,0.33,0.3881,12,75,87,23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986
516,2011-01-23,1,0,1,14,0,0,0,1,0.16,0.1364,0.28,0.3582,17,93,110,23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986
517,2011-01-23,1,0,1,15,0,0,0,1,0.16,0.1364,0.28,0.3582,13,64,77,23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986
518,2011-01-23,1,0,1,16,0,0,0,1,0.16,0.1364,0.26,0.3284,9,56,65,23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986
519,2011-01-23,1,0,1,17,0,0,0,1,0.14,0.1061,0.26,0.3881,5,50,55,23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986
520,2011-01-23,1,0,1,18,0,0,0,1,0.12,0.1212,0.3,0.2537,5,44,49,23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986
521,2011-01-23,1,0,1,19,0,0,0,1,0.12,0.1212,0.3,0.2836,5,45,50,23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986
522,2011-01-23,1,0,1,20,0,0,0,1,0.1,0.1061,0.36,0.2537,4,31,35,23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986
523,2011-01-23,1,0,1,21,0,0,0,1,0.1,0.1061,0.36,0.194,5,20,25,23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986
524,2011-01-23,1,0,1,22,0,0,0,1,0.08,0.0909,0.38,0.194,5,23,28,23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986
525,2011-01-23,1,0,1,23,0,0,0,1,0.06,0.0606,0.41,0.2239,4,17,21,23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986
526,2011-01-24,1,0,1,0,0,1,1,1,0.06,0.0606,0.41,0.194,0,7,7,24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416
527,2011-01-24,1,0,1,1,0,1,1,1,0.04,0.0455,0.45,0.194,0,1,1,24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416
528,2011-01-24,1,0,1,3,0,1,1,1,0.04,0.0303,0.45,0.2537,0,1,1,24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416
529,2011-01-24,1,0,1,4,0,1,1,1,0.02,0.0606,0.48,0.1343,0,1,1,24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416
530,2011-01-24,1,0,1,5,0,1,1,1,0.02,0.0606,0.48,0.1343,0,5,5,24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416
531,2011-01-24,1,0,1,6,0,1,1,1,0.02,0.0758,0.48,0.0896,0,15,15,24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416
532,2011-01-24,1,0,1,7,0,1,1,1,0.02,0.1212,0.48,0.0,5,79,84,24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416
533,2011-01-24,1,0,1,8,0,1,1,1,0.04,0.1364,0.49,0.0,6,171,177,24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416
534,2011-01-24,1,0,1,9,0,1,1,1,0.06,0.1515,0.41,0.0,4,98,102,24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416
535,2011-01-24,1,0,1,10,0,1,1,1,0.1,0.1364,0.42,0.0,6,34,40,24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416
536,2011-01-24,1,0,1,11,0,1,1,1,0.1,0.1212,0.46,0.1343,3,43,46,24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416
537,2011-01-24,1,0,1,12,0,1,1,2,0.12,0.1364,0.42,0.194,11,52,63,24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416
538,2011-01-24,1,0,1,13,0,1,1,2,0.14,0.1364,0.43,0.2239,6,54,60,24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416
539,2011-01-24,1,0,1,14,0,1,1,2,0.14,0.1364,0.46,0.2239,2,43,45,24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416
540,2011-01-24,1,0,1,15,0,1,1,1,0.16,0.1667,0.4,0.1642,7,50,57,24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416
541,2011-01-24,1,0,1,16,0,1,1,1,0.16,0.1515,0.47,0.2537,4,66,70,24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416
542,2011-01-24,1,0,1,17,0,1,1,1,0.14,0.1212,0.5,0.2537,6,178,184,24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416
543,2011-01-24,1,0,1,18,0,1,1,1,0.14,0.1364,0.59,0.194,8,145,153,24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416
544,2011-01-24,1,0,1,19,0,1,1,1,0.14,0.1515,0.54,0.1642,5,101,106,24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416
545,2011-01-24,1,0,1,20,0,1,1,1,0.14,0.1364,0.59,0.194,1,80,81,24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416
546,2011-01-24,1,0,1,21,0,1,1,1,0.14,0.1515,0.63,0.1642,6,53,59,24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416
547,2011-01-24,1,0,1,22,0,1,1,2,0.14,0.1364,0.63,0.2239,3,32,35,24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416
548,2011-01-24,1,0,1,23,0,1,1,2,0.16,0.1515,0.64,0.2537,3,21,24,24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416
549,2011-01-25,1,0,1,0,0,2,1,2,0.16,0.1364,0.69,0.2836,3,6,9,25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985
550,2011-01-25,1,0,1,1,0,2,1,2,0.16,0.1667,0.69,0.1642,0,5,5,25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985
551,2011-01-25,1,0,1,2,0,2,1,1,0.16,0.1515,0.69,0.2239,0,2,2,25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985
552,2011-01-25,1,0,1,4,0,2,1,1,0.14,0.1667,0.74,0.1045,0,1,1,25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985
553,2011-01-25,1,0,1,5,0,2,1,1,0.14,0.1364,0.74,0.2239,0,9,9,25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985
554,2011-01-25,1,0,1,6,0,2,1,1,0.16,0.1818,0.74,0.1045,1,35,36,25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985
555,2011-01-25,1,0,1,7,0,2,1,1,0.16,0.1515,0.74,0.2239,5,103,108,25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985
556,2011-01-25,1,0,1,8,0,2,1,2,0.16,0.1818,0.74,0.1343,5,233,238,25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985
557,2011-01-25,1,0,1,9,0,2,1,2,0.2,0.2273,0.64,0.0896,10,134,144,25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985
558,2011-01-25,1,0,1,10,0,2,1,2,0.22,0.2424,0.6,0.1045,6,49,55,25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985
559,2011-01-25,1,0,1,11,0,2,1,2,0.24,0.2424,0.6,0.1343,6,55,61,25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985
560,2011-01-25,1,0,1,12,0,2,1,2,0.26,0.2879,0.56,0.0896,21,85,106,25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985
561,2011-01-25,1,0,1,13,0,2,1,2,0.26,0.2727,0.56,0.1343,21,72,93,25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985
562,2011-01-25,1,0,1,14,0,2,1,2,0.3,0.3333,0.45,0.0,11,57,68,25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985
563,2011-01-25,1,0,1,15,0,2,1,2,0.32,0.3485,0.42,0.0,21,63,84,25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985
564,2011-01-25,1,0,1,16,0,2,1,2,0.32,0.3485,0.42,0.0,14,102,116,25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985
565,2011-01-25,1,0,1,17,0,2,1,1,0.3,0.3333,0.45,0.0,14,208,222,25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985
566,2011-01-25,1,0,1,18,0,2,1,2,0.3,0.3182,0.49,0.0896,7,218,225,25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985
567,2011-01-25,1,0,1,19,0,2,1,2,0.26,0.2576,0.65,0.1642,13,133,146,25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985
568,2011-01-25,1,0,1,20,0,2,1,1,0.24,0.2273,0.65,0.194,16,103,119,25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985
569,2011-01-25,1,0,1,21,0,2,1,1,0.24,0.2273,0.65,0.194,5,40,45,25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985
570,2011-01-25,1,0,1,22,0,2,1,1,0.22,0.2273,0.64,0.1642,4,49,53,25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985
571,2011-01-25,1,0,1,23,0,2,1,2,0.22,0.2273,0.64,0.1642,3,37,40,25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985
572,2011-01-26,1,0,1,0,0,3,1,2,0.22,0.2273,0.69,0.1343,3,14,17,26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506
573,2011-01-26,1,0,1,1,0,3,1,2,0.24,0.2424,0.65,0.1343,0,5,5,26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506
574,2011-01-26,1,0,1,2,0,3,1,3,0.22,0.2273,0.69,0.194,3,7,10,26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506
575,2011-01-26,1,0,1,5,0,3,1,3,0.2,0.1818,0.86,0.2836,0,1,1,26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506
576,2011-01-26,1,0,1,6,0,3,1,3,0.2,0.1818,0.86,0.2836,0,8,8,26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506
577,2011-01-26,1,0,1,7,0,3,1,3,0.22,0.2121,0.87,0.2985,1,29,30,26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506
578,2011-01-26,1,0,1,8,0,3,1,3,0.22,0.2121,0.87,0.2985,3,69,72,26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506
579,2011-01-26,1,0,1,9,0,3,1,3,0.22,0.2121,0.87,0.2985,3,55,58,26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506
580,2011-01-26,1,0,1,10,0,3,1,3,0.22,0.2121,0.93,0.2836,2,26,28,26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506
581,2011-01-26,1,0,1,11,0,3,1,3,0.22,0.197,0.93,0.3284,6,35,41,26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506
582,2011-01-26,1,0,1,12,0,3,1,3,0.22,0.197,0.93,0.3284,7,41,48,26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506
583,2011-01-26,1,0,1,13,0,3,1,3,0.22,0.197,0.93,0.3284,4,43,47,26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506
584,2011-01-26,1,0,1,14,0,3,1,3,0.22,0.197,0.93,0.3582,0,36,36,26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506
585,2011-01-26,1,0,1,15,0,3,1,3,0.22,0.1818,0.93,0.4627,1,42,43,26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506
586,2011-01-26,1,0,1,16,0,3,1,4,0.22,0.197,0.93,0.3284,1,35,36,26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506
587,2011-01-26,1,0,1,17,0,3,1,3,0.2,0.1818,0.93,0.3582,0,26,26,26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506
588,2011-01-27,1,0,1,16,0,4,1,1,0.22,0.2273,0.55,0.194,1,23,24,27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431
589,2011-01-27,1,0,1,17,0,4,1,1,0.22,0.2424,0.55,0.1045,2,82,84,27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431
590,2011-01-27,1,0,1,18,0,4,1,1,0.2,0.2273,0.69,0.0896,3,101,104,27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431
591,2011-01-27,1,0,1,19,0,4,1,1,0.2,0.2273,0.69,0.0896,3,76,79,27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431
592,2011-01-27,1,0,1,20,0,4,1,1,0.18,0.2121,0.74,0.0896,4,55,59,27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431
593,2011-01-27,1,0,1,21,0,4,1,1,0.18,0.2121,0.74,0.0896,2,36,38,27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431
594,2011-01-27,1,0,1,22,0,4,1,1,0.18,0.2121,0.74,0.0896,0,27,27,27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431
595,2011-01-27,1,0,1,23,0,4,1,1,0.18,0.197,0.8,0.1642,0,16,16,27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431
596,2011-01-28,1,0,1,0,0,5,1,2,0.2,0.2121,0.75,0.1343,0,9,9,28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167
597,2011-01-28,1,0,1,1,0,5,1,2,0.2,0.2121,0.75,0.1343,1,2,3,28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167
598,2011-01-28,1,0,1,2,0,5,1,2,0.2,0.2121,0.75,0.1642,0,2,2,28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167
599,2011-01-28,1,0,1,3,0,5,1,2,0.2,0.2273,0.75,0.1045,1,0,1,28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167
600,2011-01-28,1,0,1,5,0,5,1,2,0.18,0.2121,0.8,0.1045,0,4,4,28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167
601,2011-01-28,1,0,1,6,0,5,1,2,0.18,0.197,0.8,0.1343,0,16,16,28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167
602,2011-01-28,1,0,1,7,0,5,1,2,0.16,0.197,0.86,0.0896,2,58,60,28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167
603,2011-01-28,1,0,1,8,0,5,1,2,0.16,0.197,0.86,0.0896,2,155,157,28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167
604,2011-01-28,1,0,1,9,0,5,1,3,0.18,0.2121,0.86,0.0896,6,95,101,28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167
605,2011-01-28,1,0,1,10,0,5,1,3,0.18,0.2121,0.86,0.1045,0,49,49,28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167
606,2011-01-28,1,0,1,11,0,5,1,3,0.18,0.2121,0.93,0.1045,0,30,30,28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167
607,2011-01-28,1,0,1,12,0,5,1,3,0.18,0.2121,0.93,0.1045,1,28,29,28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167
608,2011-01-28,1,0,1,13,0,5,1,3,0.18,0.2121,0.93,0.1045,0,31,31,28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167
609,2011-01-28,1,0,1,14,0,5,1,3,0.22,0.2727,0.8,0.0,2,36,38,28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167
610,2011-01-28,1,0,1,15,0,5,1,2,0.2,0.2576,0.86,0.0,1,40,41,28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167
611,2011-01-28,1,0,1,16,0,5,1,1,0.22,0.2727,0.8,0.0,10,70,80,28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167
612,2011-01-28,1,0,1,17,0,5,1,1,0.24,0.2424,0.75,0.1343,2,147,149,28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167
613,2011-01-28,1,0,1,18,0,5,1,1,0.24,0.2273,0.75,0.194,2,107,109,28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167
614,2011-01-28,1,0,1,19,0,5,1,2,0.24,0.2424,0.75,0.1343,5,84,89,28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167
615,2011-01-28,1,0,1,20,0,5,1,2,0.24,0.2273,0.7,0.194,1,61,62,28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167
616,2011-01-28,1,0,1,21,0,5,1,2,0.22,0.2273,0.75,0.1343,1,57,58,28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167
617,2011-01-28,1,0,1,22,0,5,1,1,0.24,0.2121,0.65,0.3582,0,26,26,28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167
618,2011-01-28,1,0,1,23,0,5,1,1,0.24,0.2273,0.6,0.2239,1,22,23,28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167
619,2011-01-29,1,0,1,0,0,6,0,1,0.22,0.197,0.64,0.3582,2,26,28,29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098
620,2011-01-29,1,0,1,1,0,6,0,1,0.22,0.2273,0.64,0.194,0,20,20,29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098
621,2011-01-29,1,0,1,2,0,6,0,1,0.22,0.2273,0.64,0.1642,0,15,15,29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098
622,2011-01-29,1,0,1,3,0,6,0,1,0.2,0.2121,0.64,0.1343,3,5,8,29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098
623,2011-01-29,1,0,1,4,0,6,0,1,0.16,0.1818,0.69,0.1045,1,2,3,29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098
624,2011-01-29,1,0,1,6,0,6,0,1,0.16,0.1818,0.64,0.1343,0,2,2,29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098
625,2011-01-29,1,0,1,7,0,6,0,1,0.16,0.1818,0.59,0.1045,1,4,5,29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098
626,2011-01-29,1,0,1,8,0,6,0,1,0.18,0.197,0.55,0.1642,3,31,34,29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098
627,2011-01-29,1,0,1,9,0,6,0,1,0.18,0.2121,0.59,0.0896,0,34,34,29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098
628,2011-01-29,1,0,1,10,0,6,0,2,0.18,0.2121,0.64,0.1045,4,51,55,29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098
629,2011-01-29,1,0,1,11,0,6,0,2,0.18,0.197,0.64,0.1343,4,60,64,29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098
630,2011-01-29,1,0,1,12,0,6,0,2,0.2,0.197,0.59,0.194,12,66,78,29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098
631,2011-01-29,1,0,1,13,0,6,0,2,0.22,0.2273,0.55,0.1642,9,56,65,29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098
632,2011-01-29,1,0,1,14,0,6,0,2,0.22,0.2273,0.6,0.1343,10,89,99,29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098
633,2011-01-29,1,0,1,15,0,6,0,1,0.22,0.2121,0.69,0.2537,22,98,120,29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098
634,2011-01-29,1,0,1,16,0,6,0,1,0.24,0.2424,0.6,0.1642,19,88,107,29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098
635,2011-01-29,1,0,1,17,0,6,0,1,0.24,0.2879,0.6,0.0,9,82,91,29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098
636,2011-01-29,1,0,1,18,0,6,0,1,0.22,0.2273,0.69,0.1343,9,59,68,29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098
637,2011-01-29,1,0,1,19,0,6,0,2,0.22,0.2121,0.69,0.2537,6,52,58,29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098
638,2011-01-29,1,0,1,20,0,6,0,1,0.18,0.2121,0.74,0.0896,1,42,43,29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098
639,2011-01-29,1,0,1,21,0,6,0,1,0.18,0.2121,0.74,0.0896,1,35,36,29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098
640,2011-01-29,1,0,1,22,0,6,0,1,0.16,0.197,0.8,0.0896,4,28,32,29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098
641,2011-01-29,1,0,1,23,0,6,0,1,0.16,0.197,0.8,0.0896,3,30,33,29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098
642,2011-01-30,1,0,1,0,0,0,0,1,0.16,0.1818,0.8,0.1045,0,33,33,30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096
643,2011-01-30,1,0,1,1,0,0,0,1,0.14,0.2121,0.8,0.0,7,22,29,30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096
644,2011-01-30,1,0,1,2,0,0,0,1,0.16,0.2273,0.8,0.0,1,10,11,30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096
645,2011-01-30,1,0,1,3,0,0,0,1,0.14,0.2121,0.93,0.0,1,7,8,30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096
646,2011-01-30,1,0,1,4,0,0,0,1,0.14,0.2121,0.93,0.0,0,1,1,30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096
647,2011-01-30,1,0,1,5,0,0,0,1,0.14,0.2121,0.86,0.0,0,3,3,30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096
648,2011-01-30,1,0,1,7,0,0,0,1,0.14,0.2121,0.86,0.0,0,3,3,30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096
649,2011-01-30,1,0,1,8,0,0,0,2,0.14,0.2121,0.86,0.0,1,11,12,30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096
650,2011-01-30,1,0,1,9,0,0,0,2,0.16,0.2273,0.8,0.0,4,34,38,30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096
651,2011-01-30,1,0,1,10,0,0,0,2,0.18,0.2424,0.8,0.0,7,57,64,30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096
652,2011-01-30,1,0,1,11,0,0,0,1,0.22,0.2727,0.75,0.0,9,50,59,30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096
653,2011-01-30,1,0,1,12,0,0,0,1,0.3,0.3182,0.52,0.1045,10,87,97,30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096
654,2011-01-30,1,0,1,13,0,0,0,1,0.28,0.2879,0.61,0.1045,13,71,84,30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096
655,2011-01-30,1,0,1,14,0,0,0,1,0.28,0.303,0.61,0.0896,18,104,122,30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096
656,2011-01-30,1,0,1,15,0,0,0,1,0.3,0.3333,0.56,0.0,14,95,109,30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096
657,2011-01-30,1,0,1,16,0,0,0,1,0.3,0.3333,0.56,0.0,19,104,123,30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096
